harmonic_number,grid_current_rms_a
1,2.85216594068965
2,1.28547973730883e-07
3,0.520468144002729
4,7.01098657470935e-08
5,0.392536121155265
6,4.75837954112478e-08
7,0.317973697750795
8,3.59175947989959e-08
9,0.260632683313917
10,2.88203542702425e-08
11,0.230316692932914
12,2.40562847256402e-08
13,0.17570572835181
14,2.06400723548736e-08
15,0.13496696769619
16,1.80716727150051e-08
17,0.0591982893782925
18,1.60707919324153e-08
19,0.0228563273296677
20,1.44682744470436e-08
21,0.0866218059910966
22,1.3156044727098e-08
23,0.138883413779742
24,1.2061844971901e-08
25,0.148005584968851
26,1.11355442654539e-08
27,0.0731319038593524
28,1.03412761325269e-08
29,0.000632638280233273
30,9.65270547403486e-09
31,0.0442021663780308
32,9.05005922038844e-09
33,0.0493498005912985
34,8.51820637588563e-09
35,0.0209952100610982
36,8.04536572075072e-09
37,0.0572550126012
38,7.62224509756352e-09
39,0.00689957845234092
40,7.24138641139287e-09
41,0.0954511879886807
42,6.89676732901427e-09
43,0.100784522331688
44,6.58344768355505e-09
45,0.00301753862850501
46,6.29735025949677e-09
47,0.06096575447723
48,6.03507739295451e-09
49,0.0163729530876529
50,5.79377127458443e-09
