time_s,v_ref_v,v_out_filtered_v,i_load_a
0.000000,0.000,-2.039,-1.225
0.000010,0.128,-1.911,-1.148
0.000020,0.256,-1.783,-1.071
0.000030,0.385,-1.655,-0.994
0.000040,0.513,-1.527,-0.917
0.000050,0.641,-1.399,-0.840
0.000060,0.769,-1.271,-0.763
0.000070,0.897,-1.143,-0.686
0.000080,1.025,-1.014,-0.609
0.000090,1.153,-0.886,-0.532
0.000100,1.282,-0.758,-0.455
0.000110,1.410,-0.630,-0.378
0.000120,1.538,-0.502,-0.301
0.000130,1.666,-0.374,-0.224
0.000140,1.794,-0.246,-0.147
0.000150,1.922,-0.117,-0.070
0.000160,2.050,0.011,0.007
0.000170,2.178,0.139,0.084
0.000180,2.306,0.267,0.161
0.000190,2.434,0.395,0.238
0.000200,2.562,0.524,0.314
0.000210,2.690,0.652,0.391
0.000220,2.818,0.780,0.468
0.000230,2.946,0.908,0.545
0.000240,3.073,1.036,0.622
0.000250,3.201,1.164,0.699
0.000260,3.329,1.292,0.776
0.000270,3.457,1.420,0.853
0.000280,3.584,1.549,0.930
0.000290,3.712,1.677,1.007
0.000300,3.840,1.805,1.084
0.000310,3.967,1.933,1.161
0.000320,4.095,2.061,1.238
0.000330,4.222,2.189,1.315
0.000340,4.350,2.317,1.392
0.000350,4.477,2.445,1.469
0.000360,4.605,2.573,1.545
0.000370,4.732,2.701,1.622
0.000380,4.859,2.828,1.699
0.000390,4.986,2.956,1.776
0.000400,5.114,3.084,1.853
0.000410,5.241,3.212,1.930
0.000420,5.368,3.340,2.006
0.000430,5.495,3.467,2.083
0.000440,5.622,3.595,2.160
0.000450,5.749,3.723,2.236
0.000460,5.876,3.850,2.313
0.000470,6.002,3.978,2.390
0.000480,6.129,4.106,2.466
0.000490,6.256,4.233,2.543
0.000500,6.383,4.361,2.619
0.000510,6.509,4.488,2.696
0.000520,6.636,4.615,2.773
0.000530,6.762,4.743,2.849
0.000540,6.888,4.870,2.926
0.000550,7.015,4.997,3.002
0.000560,7.141,5.124,3.078
0.000570,7.267,5.251,3.155
0.000580,7.393,5.379,3.231
0.000590,7.519,5.506,3.307
0.000600,7.645,5.633,3.384
0.000610,7.771,5.759,3.460
0.000620,7.897,5.886,3.536
0.000630,8.023,6.013,3.612
0.000640,8.148,6.140,3.688
0.000650,8.274,6.267,3.765
0.000660,8.399,6.393,3.841
0.000670,8.525,6.520,3.917
0.000680,8.650,6.646,3.993
0.000690,8.775,6.773,4.069
0.000700,8.900,6.899,4.144
0.000710,9.025,7.025,4.220
0.000720,9.150,7.152,4.296
0.000730,9.275,7.278,4.372
0.000740,9.400,7.404,4.448
0.000750,9.525,7.530,4.523
0.000760,9.649,7.656,4.599
0.000770,9.774,7.782,4.675
0.000780,9.898,7.907,4.750
0.000790,10.022,8.033,4.826
0.000800,10.147,8.159,4.901
0.000810,10.271,8.284,4.977
0.000820,10.395,8.410,5.052
0.000830,10.519,8.535,5.127
0.000840,10.642,8.660,5.203
0.000850,10.766,8.786,5.278
0.000860,10.890,8.911,5.353
0.000870,11.013,9.036,5.428
0.000880,11.136,9.161,5.503
0.000890,11.260,9.286,5.578
0.000900,11.383,9.410,5.653
0.000910,11.506,9.535,5.728
0.000920,11.629,9.660,5.803
0.000930,11.752,9.784,5.878
0.000940,11.874,9.909,5.952
0.000950,11.997,10.033,6.027
0.000960,12.119,10.157,6.102
0.000970,12.242,10.281,6.176
0.000980,12.364,10.405,6.251
0.000990,12.486,10.529,6.325
0.001000,12.608,10.653,6.399
0.001010,12.730,10.776,6.474
0.001020,12.851,10.900,6.548
0.001030,12.973,11.024,6.622
0.001040,13.094,11.147,6.696
0.001050,13.216,11.270,6.770
0.001060,13.337,11.393,6.844
0.001070,13.458,11.516,6.918
0.001080,13.579,11.639,6.992
0.001090,13.700,11.762,7.066
0.001100,13.821,11.885,7.139
0.001110,13.941,12.007,7.213
0.001120,14.061,12.130,7.287
0.001130,14.182,12.252,7.360
0.001140,14.302,12.374,7.434
0.001150,14.422,12.496,7.507
0.001160,14.542,12.618,7.580
0.001170,14.661,12.740,7.653
0.001180,14.781,12.862,7.726
0.001190,14.900,12.983,7.799
0.001200,15.019,13.105,7.872
0.001210,15.139,13.226,7.945
0.001220,15.258,13.347,8.018
0.001230,15.376,13.468,8.091
0.001240,15.495,13.589,8.163
0.001250,15.613,13.710,8.236
0.001260,15.732,13.831,8.309
0.001270,15.850,13.951,8.381
0.001280,15.968,14.072,8.453
0.001290,16.086,14.192,8.525
0.001300,16.204,14.312,8.598
0.001310,16.321,14.432,8.670
0.001320,16.439,14.552,8.742
0.001330,16.556,14.671,8.814
0.001340,16.673,14.791,8.885
0.001350,16.790,14.910,8.957
0.001360,16.907,15.030,9.029
0.001370,17.023,15.149,9.100
0.001380,17.139,15.268,9.172
0.001390,17.256,15.386,9.243
0.001400,17.372,15.505,9.314
0.001410,17.488,15.623,9.386
0.001420,17.603,15.742,9.457
0.001430,17.719,15.860,9.528
0.001440,17.834,15.978,9.598
0.001450,17.950,16.096,9.669
0.001460,18.065,16.214,9.740
0.001470,18.179,16.331,9.811
0.001480,18.294,16.448,9.881
0.001490,18.409,16.566,9.952
0.001500,18.523,16.683,10.022
0.001510,18.637,16.800,10.092
0.001520,18.751,16.916,10.162
0.001530,18.865,17.033,10.232
0.001540,18.978,17.149,10.302
0.001550,19.092,17.266,10.372
0.001560,19.205,17.382,10.442
0.001570,19.318,17.497,10.511
0.001580,19.431,17.613,10.581
0.001590,19.543,17.729,10.650
0.001600,19.656,17.844,10.719
0.001610,19.768,17.959,10.789
0.001620,19.880,18.074,10.858
0.001630,19.992,18.189,10.927
0.001640,20.103,18.304,10.996
0.001650,20.215,18.418,11.064
0.001660,20.326,18.532,11.133
0.001670,20.437,18.647,11.202
0.001680,20.548,18.760,11.270
0.001690,20.658,18.874,11.338
0.001700,20.769,18.988,11.407
0.001710,20.879,19.101,11.475
0.001720,20.989,19.214,11.543
0.001730,21.099,19.327,11.610
0.001740,21.209,19.440,11.678
0.001750,21.318,19.553,11.746
0.001760,21.427,19.665,11.813
0.001770,21.536,19.777,11.881
0.001780,21.645,19.889,11.948
0.001790,21.753,20.001,12.015
0.001800,21.862,20.113,12.082
0.001810,21.970,20.224,12.149
0.001820,22.078,20.335,12.216
0.001830,22.185,20.446,12.283
0.001840,22.293,20.557,12.349
0.001850,22.400,20.668,12.416
0.001860,22.507,20.778,12.482
0.001870,22.614,20.888,12.548
0.001880,22.721,20.998,12.614
0.001890,22.827,21.108,12.680
0.001900,22.933,21.218,12.746
0.001910,23.039,21.327,12.812
0.001920,23.145,21.436,12.877
0.001930,23.250,21.545,12.943
0.001940,23.355,21.654,13.008
0.001950,23.460,21.763,13.073
0.001960,23.565,21.871,13.139
0.001970,23.669,21.979,13.203
0.001980,23.774,22.087,13.268
0.001990,23.878,22.195,13.333
0.002000,23.982,22.302,13.397
0.002010,24.085,22.409,13.462
0.002020,24.189,22.516,13.526
0.002030,24.292,22.623,13.590
0.002040,24.395,22.730,13.654
0.002050,24.497,22.836,13.718
0.002060,24.600,22.942,13.782
0.002070,24.702,23.048,13.846
0.002080,24.804,23.153,13.909
0.002090,24.905,23.259,13.972
0.002100,25.007,23.364,14.036
0.002110,25.108,23.469,14.099
0.002120,25.209,23.574,14.162
0.002130,25.309,23.678,14.224
0.002140,25.410,23.783,14.287
0.002150,25.510,23.887,14.349
0.002160,25.610,23.990,14.412
0.002170,25.709,24.094,14.474
0.002180,25.809,24.197,14.536
0.002190,25.908,24.300,14.598
0.002200,26.007,24.403,14.660
0.002210,26.106,24.506,14.721
0.002220,26.204,24.608,14.783
0.002230,26.302,24.710,14.844
0.002240,26.400,24.812,14.905
0.002250,26.497,24.914,14.966
0.002260,26.595,25.015,15.027
0.002270,26.692,25.116,15.088
0.002280,26.789,25.217,15.149
0.002290,26.885,25.318,15.209
0.002300,26.982,25.418,15.269
0.002310,27.078,25.518,15.330
0.002320,27.173,25.618,15.390
0.002330,27.269,25.718,15.450
0.002340,27.364,25.817,15.509
0.002350,27.459,25.916,15.569
0.002360,27.554,26.015,15.628
0.002370,27.648,26.114,15.687
0.002380,27.742,26.212,15.746
0.002390,27.836,26.310,15.805
0.002400,27.930,26.408,15.864
0.002410,28.023,26.506,15.923
0.002420,28.116,26.603,15.981
0.002430,28.209,26.700,16.040
0.002440,28.301,26.797,16.098
0.002450,28.393,26.893,16.156
0.002460,28.485,26.990,16.214
0.002470,28.577,27.086,16.271
0.002480,28.668,27.181,16.329
0.002490,28.759,27.277,16.386
0.002500,28.850,27.372,16.443
0.002510,28.940,27.467,16.500
0.002520,29.031,27.562,16.557
0.002530,29.121,27.656,16.614
0.002540,29.210,27.750,16.670
0.002550,29.300,27.844,16.727
0.002560,29.389,27.937,16.783
0.002570,29.477,28.031,16.839
0.002580,29.566,28.124,16.895
0.002590,29.654,28.216,16.950
0.002600,29.742,28.309,17.006
0.002610,29.830,28.401,17.061
0.002620,29.917,28.493,17.117
0.002630,30.004,28.585,17.172
0.002640,30.091,28.676,17.226
0.002650,30.177,28.767,17.281
0.002660,30.263,28.858,17.336
0.002670,30.349,28.948,17.390
0.002680,30.434,29.038,17.444
0.002690,30.520,29.128,17.498
0.002700,30.605,29.218,17.552
0.002710,30.689,29.307,17.606
